Título,Nota,URL,Etiquetas,Comentario
Restaurante Kitchen 154,,https://www.google.com/maps/place/Restaurante+Kitchen+154/data=!4m2!3m1!1s0xd42285de63e5ded:0xfdd7e271173e7e25,,
Chuka,,https://www.google.com/maps/place/Chuka/data=!4m2!3m1!1s0xd42288109016667:0xc09135bcc8238ea9,,
Toga Restaurante,,https://www.google.com/maps/place/Toga+Restaurante/data=!4m2!3m1!1s0xd4227d5b89a0f61:0x3fe5dfcd6db7afa9,,
Xihuramen,Ramen seco locura,https://www.google.com/maps/place/Xihuramen/data=!4m2!3m1!1s0xd422987e971c4d7:0x8c71699227cc6bf0,,
Gastro Bar Lusitano,buffet cachopos 25€ comidas y cenas lunes a jueves y comidas viernes,https://www.google.com/maps/place/Gastro+Bar+Lusitano/data=!4m2!3m1!1s0xd418b44efc47777:0x9460cbe82028b7cc,,
Restaurante Pacifico Buffet libre,buffet de todo desde 17€,https://www.google.com/maps/place/Restaurante+Pacifico+Buffet+libre/data=!4m2!3m1!1s0xd418f002ad08717:0x78cd47800ce2ab46,,
Mati’s Burger,buffet libre hamburguesas 15.90€ comer sin bebida,https://www.google.com/maps/place/Mati%E2%80%99s+Burger/data=!4m2!3m1!1s0xd41899cfc62e3a1:0x3a339b87c4d88c45,,
GULA,,https://www.google.com/maps/place/GULA/data=!4m2!3m1!1s0xd418d258d4c80cb:0x6abb02ab7cf6a08b,,
LEZZET RESTAURANTE TURCO,,https://www.google.com/maps/place/LEZZET+RESTAURANTE+TURCO/data=!4m2!3m1!1s0xd418dc3e4f2f76f:0x5b5c01467792de53,,
Gabo's,,https://www.google.com/maps/place/Gabo's/data=!4m2!3m1!1s0xd42295c4ab34827:0x492ee7b4b54345d0,,
Las Adelitas Restaurante Mexicano,,https://www.google.com/maps/place/Las+Adelitas+Restaurante+Mexicano/data=!4m2!3m1!1s0xd422983ed9c16e7:0xca2f1f62921f5aa1,,
Lab84 Malasaña,,https://www.google.com/maps/place/Lab84+Malasa%C3%B1a/data=!4m2!3m1!1s0xd42298d044d0835:0x4e317d34cc5cf54d,,
Restaurante Ginkgo LAB Madroño,,https://www.google.com/maps/place/Restaurante+Ginkgo+LAB+Madro%C3%B1o/data=!4m2!3m1!1s0xd4229a656ebf591:0xa676165ba3ff6309,,
Callao24 by Jhosef Arias,,https://www.google.com/maps/place/Callao24+by+Jhosef+Arias/data=!4m2!3m1!1s0xd42260bf73e935d:0x9e47eb9cc7f75c,,
RESTAURANTE MEXICANO Q PADRE,,https://www.google.com/maps/place/RESTAURANTE+MEXICANO+Q+PADRE/data=!4m2!3m1!1s0xd4229d2d451fb6f:0xa58ab3be63a146dc,,
Restaurante Thai Zafra,,https://www.google.com/maps/place/Restaurante+Thai+Zafra/data=!4m2!3m1!1s0xd4228b3d31eaaab:0x68992ab76f0a0581,,
Monty's,,https://www.google.com/maps/place/Monty's/data=!4m2!3m1!1s0xd422f3ff2e31459:0xa1387c90e4ccbe50,,
¡Qué empanada!,,https://www.google.com/maps/place/%C2%A1Qu%C3%A9+empanada!/data=!4m2!3m1!1s0xd422f3e3fe2c439:0x5d163e6614e033eb,,
Crítico Restaurante,,https://www.google.com/maps/place/Cr%C3%ADtico+Restaurante/data=!4m2!3m1!1s0xd422f155f4945fd:0x49838bad769053f9,,
Caja de Cerillas,,https://www.google.com/maps/place/Caja+de+Cerillas/data=!4m2!3m1!1s0xd4229981eefac2b:0xe17765eda1a48ed3,,
Devoto Burger - Madrid,,https://www.google.com/maps/place/Devoto+Burger+-+Madrid/data=!4m2!3m1!1s0xd42291255ce080d:0x6acfb787fbe689db,,
Volterra Ristorante,,https://www.google.com/maps/place/Volterra+Ristorante/data=!4m2!3m1!1s0xd4229562eaa049b:0x929d81b333308b73,,
lalopezbar,,https://www.google.com/maps/place/lalopezbar/data=!4m2!3m1!1s0xd4227c62fab04f1:0xbd0aeb38c57559b3,,
Genko Restaurante,,https://www.google.com/maps/place/Genko+Restaurante/data=!4m2!3m1!1s0xd42298cc1f1f2c5:0xa37c38ee7f268313,,
Krudo Raw Bar,,https://www.google.com/maps/place/Krudo+Raw+Bar/data=!4m2!3m1!1s0xd4229d189b65021:0x552308af598f1889,,
Bubari - Restaurante y Cócteles,,https://www.google.com/maps/place/Bubari+-+Restaurante+y+C%C3%B3cteles/data=!4m2!3m1!1s0xd41895bebea9205:0x6db7fc2f6c03e164,,
TOTALE Ristorante Pizzería,,https://www.google.com/maps/place/TOTALE+Ristorante+Pizzer%C3%ADa/data=!4m2!3m1!1s0xd418f63c45b417b:0x936e45fca6fbbb52,,
Cafetería Rocablanca,tapa gratis con bebida y buenas croquetas y tortilla baratas,https://www.google.com/maps/place/Cafeter%C3%ADa+Rocablanca/data=!4m2!3m1!1s0xd4228885b8c078d:0x9237dac471513bed,,
Restaurante LA ROCA BOADILLA,tarta queso,https://www.google.com/maps/place/Restaurante+LA+ROCA+BOADILLA/data=!4m2!3m1!1s0xd418593617b382b:0xccffe49e03842a64,,
Restaurante la Vía,,https://www.google.com/maps/place/Restaurante+la+V%C3%ADa/data=!4m2!3m1!1s0xd41855608248587:0x38147f819e56f0a0,,
TOTALE Ristorante Pizzería,tarta queso,https://www.google.com/maps/place/TOTALE+Ristorante+Pizzer%C3%ADa/data=!4m2!3m1!1s0xd4185c75d1f46f5:0x1b0e6ed783539753,,
Trattoria Piccolo Mio,,https://www.google.com/maps/place/Trattoria+Piccolo+Mio/data=!4m2!3m1!1s0xd418f885d9e6ea7:0x458bc7146add0a7a,,
Noinu Restaurante | Boadilla del Monte,tarta queso,https://www.google.com/maps/place/Noinu+Restaurante+%7C+Boadilla+del+Monte/data=!4m2!3m1!1s0xd418fc9a2fa6fb9:0xedb1734b2182a41,,
Restaurante India Gate,,https://www.google.com/maps/place/Restaurante+India+Gate/data=!4m2!3m1!1s0xd418ff7b63ebbfb:0x8c240c70caafb827,,
Restaurante ALILIAN,tarta queso,https://www.google.com/maps/place/Restaurante+ALILIAN/data=!4m2!3m1!1s0xd418f119b178013:0x8fd780f1f7a60c12,,
Inmigrante Madrid,,https://www.google.com/maps/place/Inmigrante+Madrid/data=!4m2!3m1!1s0xd418f106abded37:0x3e57a3753f8b506e,,
Restaurante Pintxaki,tarta queso,https://www.google.com/maps/place/Restaurante+Pintxaki/data=!4m2!3m1!1s0xd4187cbf6bcbf2f:0x91228a869cfdaeb9,,
Paschi Cocina Peruana,,https://www.google.com/maps/place/Paschi+Cocina+Peruana/data=!4m2!3m1!1s0xd4186458a06f65d:0x96896277386884ce,,
Central Mexicana Restaurante & Tequila,,https://www.google.com/maps/place/Central+Mexicana+Restaurante+%26+Tequila/data=!4m2!3m1!1s0xd418646b139b90d:0x6dc7694604dd54de,,
Restaurante Empanadish Pozuelo,,https://www.google.com/maps/place/Restaurante+Empanadish+Pozuelo/data=!4m2!3m1!1s0xd4187350fb1f609:0x9fdc3a9c0fd26d6d,,
Lamonarracha Pozuelo,tarta queso,https://www.google.com/maps/place/Lamonarracha+Pozuelo/data=!4m2!3m1!1s0xd4187cca45faf7d:0x100815ce77d301a6,,
Mexicanísimo Pozuelo,,https://www.google.com/maps/place/Mexican%C3%ADsimo+Pozuelo/data=!4m2!3m1!1s0xd4187635bfb58af:0xdcd4d2481e18c5c8,,
Restaurante Berenguela,tarta queso,https://www.google.com/maps/place/Restaurante+Berenguela/data=!4m2!3m1!1s0xd4229f521fa6f39:0x693471dd1d6ea9b4,,
CUXTA Antojitos-Drinks & Shop,,https://www.google.com/maps/place/CUXTA+Antojitos-Drinks+%26+Shop/data=!4m2!3m1!1s0xd4227d64e9c040b:0xa2be9925f40a50f9,,
Ciudad Mezcal,,https://www.google.com/maps/place/Ciudad+Mezcal/data=!4m2!3m1!1s0xd422774d89b8231:0x8c693576f3224424,,
Restaurante La Princesa Árabe,,https://www.google.com/maps/place/Restaurante+La+Princesa+%C3%81rabe/data=!4m2!3m1!1s0xd42262d8dc7df5d:0x95d684b1140af21e,,
Pizzería Lab’ 84,,https://www.google.com/maps/place/Pizzer%C3%ADa+Lab%E2%80%99+84/data=!4m2!3m1!1s0xd42279dfa55bb91:0x16df17e9f976bda3,,
Canastaco Madrid,,https://www.google.com/maps/place/Canastaco+Madrid/data=!4m2!3m1!1s0xd4227169eaf8e1d:0x7c6a35934fce5bb6,,
La Fabia,,https://www.google.com/maps/place/La+Fabia/data=!4m2!3m1!1s0xd42272157dacba3:0x9eba72d490ba2848,,
Restaurante Trattoria Increscendo,,https://www.google.com/maps/place/Restaurante+Trattoria+Increscendo/data=!4m2!3m1!1s0xd422635da1e9977:0x487a382e33e98682,,
Taquería Órale Burrito,,https://www.google.com/maps/place/Taquer%C3%ADa+%C3%93rale+Burrito/data=!4m2!3m1!1s0xd42278cf5960c8f:0x8ea32d3252bcc1a7,,
Pizzeria Fratelli Madrid,,https://www.google.com/maps/place/Pizzeria+Fratelli+Madrid/data=!4m2!3m1!1s0xd41883e38ddbc47:0xaa91f7a551c3e468,,
La Cochinita Loca - Pau Carabanchel,,https://www.google.com/maps/place/La+Cochinita+Loca+-+Pau+Carabanchel/data=!4m2!3m1!1s0xd41892ea609e395:0x8cfb49d683f47fb2,,
El jardín de mi madre,,https://www.google.com/maps/place/El+jard%C3%ADn+de+mi+madre/data=!4m2!3m1!1s0xd418928dfc728a3:0x3bf19b791b208948,,
Trattoria La Famiglia,,https://www.google.com/maps/place/Trattoria+La+Famiglia/data=!4m2!3m1!1s0xd41881ad27fc523:0xd8ee7471ab4dd161,,
La Cochinita Loca - El Rastro,,https://www.google.com/maps/place/La+Cochinita+Loca+-+El+Rastro/data=!4m2!3m1!1s0xd42274e30874cc9:0x87d3c29882607746,,
